date_time,Amount_received
2023-09-26,4.24
2023-09-27,0.53
2023-09-29,0.69
2023-09-30,0.25
2023-10-01,8.92
2023-10-03,5.5
2023-10-04,1.6
2023-10-05,1.56
2023-10-07,0.78
2023-10-09,2.07
2023-10-10,4.77
2023-10-12,3.5
2023-10-13,2.36
2023-10-14,1.53
2023-10-15,5.25
2023-10-16,4.58
2023-10-17,0.86
2023-10-18,0.12
2023-10-19,3.11
2023-10-20,2.71
2023-10-21,0.02
2023-10-22,0.77
2023-10-23,0.09
2023-10-24,0.58
2023-10-25,2.75
2023-10-26,7.98
2023-10-28,2.94
2023-10-29,7.82
2023-10-30,1.52
2023-10-31,0.33
2023-11-02,0.53
2023-11-03,6.0
2023-11-04,5.21
2023-11-05,0.6
2023-11-06,0.61
2023-11-07,1.37
2023-11-08,0.36
2023-11-09,1.02
2023-11-10,5.21
2023-11-11,0.87
2023-11-12,0.98
2023-11-13,7.8
2023-11-14,0.36
2023-11-15,1.34
2023-11-16,4.27
2023-11-17,6.11
2023-11-18,5.17
2023-11-19,9.83
2023-11-20,2.34
2023-11-21,3.26
2023-11-23,0.47
2023-11-24,0.28
2023-11-25,2.33
2023-11-26,3.36
2023-11-27,0.09
2023-11-28,2.47
2023-11-29,1.53
2023-11-30,0.49
2023-12-01,3.67
2023-12-02,0.76
2023-12-03,0.21
2023-12-04,1.56
2023-12-05,0.96
2023-12-06,9.89
2023-12-07,3.48
2023-12-08,1.83
2023-12-09,4.2
2023-12-10,5.52
2023-12-11,0.01
2023-12-12,5.78
2023-12-13,1.85
2023-12-14,1.76
2023-12-15,0.66
2023-12-16,1.62
2023-12-17,7.7
2023-12-18,0.64
2023-12-19,0.14
2023-12-20,4.75
2023-12-21,5.52
2023-12-22,1.29
2023-12-23,8.93
2023-12-25,3.49
2023-12-26,3.02
2023-12-28,1.01
2023-12-29,6.65
2023-12-31,1.47
2024-01-01,0.15
